experiment,model,building_id,n_observations,MAE,RMSE,R2,NMAE
seen,seasonal_naive,Gator_assembly_Kimberly,3314,253.17541182860592,393.5995273735697,-0.47291916169345716,0.18208356154430266
seen,seasonal_naive,Gator_public_Nettie,3145,2.4370819395866454,4.074412457249139,-0.05171994207275188,0.16875368854496148
seen,seasonal_naive,Hog_health_Kesha,3472,10.99011607142857,20.292120756372082,0.4972324402883629,0.04477514511070016
seen,seasonal_naive,Hog_office_Eloise,3499,13.194242069162618,26.571395186441453,0.7264145382812576,0.03955939688133536
seen,seasonal_naive,Hog_office_Elsy,3483,3.219405684754522,5.022332432876396,0.30618906280857794,0.12499948024596332
seen,seasonal_naive,Hog_office_Emmanuel,3427,1.909577181208054,2.7278315528531403,0.8270026682750166,0.06922543135801802
seen,seasonal_naive,Hog_office_Mary,3504,6.393129851598174,12.133871407306595,0.3457786340453102,0.19802635809285543
seen,seasonal_naive,Hog_warehouse_Porsha,3488,0.8355911697247708,2.137330431468147,0.9605068605800076,0.06348721938677654
seen,seasonal_naive,Lamb_assembly_Rosa,3504,109.05614851598173,218.43904884288494,-0.05297345719887736,0.8337389909591083
seen,seasonal_naive,Lamb_education_Ellen,3259,0.0021478981282602025,0.03877536189105321,0.976376319750876,0.10790529614608531
seen,seasonal_naive,Lamb_education_Harold,3187,0.0,0.0,,0.0
seen,seasonal_naive,Lamb_education_Rodrigo,3496,8.38383492562929,19.038230824274187,0.5119295468308253,0.19881986867483895
seen,seasonal_naive,Lamb_education_Stefan,3484,1.1275230769230769,4.895643047716451,0.6359278607138454,0.36633299505367645
seen,seasonal_naive,Lamb_industrial_Willard,3248,0.0007081280788177341,0.02877849840494375,0.9663280717704896,0.08574442940810244
seen,seasonal_naive,Lamb_office_Caitlin,3504,8.52453105022831,23.04706956526971,0.6500992611069055,0.2989261725722324
seen,seasonal_naive,Lamb_public_Angeline,2927,3.1484982576016396,9.68436648947008,0.8698065545995103,0.23825981350211756
seen,seasonal_naive,Mouse_health_Justin,3134,77.73687176132738,105.90037648221633,0.7027074756077778,0.08820284520075225
seen,seasonal_naive,Panther_education_Mohammad,2806,16.96951186742694,27.52289314871878,0.4313743723359982,0.11506640590552887
seen,seasonal_naive,Panther_lodging_Edmond,2811,4.680697331910353,6.237592711325985,0.8445443478971493,0.10985716469758958
seen,seasonal_naive,Panther_office_Jeane,2811,4.603704268943436,6.964337728293208,0.2068255117633817,0.22706034253485002
seen,seasonal_naive,Peacock_public_Kelvin,3487,21.483878720963578,34.476235017912366,0.7433781516983217,0.07944289007606505
seen,seasonal_naive,Rat_assembly_Teddy,3454,12.91754198031268,17.79945722173952,0.4266886887879322,0.171263946108417
seen,seasonal_naive,Rat_education_Adrian,3449,11.638274862278923,21.18838622009169,0.6355468216966327,0.14847280597051368
seen,seasonal_naive,Rat_education_Kelsey,3473,16.08174488914483,28.885867670038312,0.606234403207582,0.1006224471188026
seen,seasonal_naive,Rat_education_Marvin,3436,12.623518626309663,22.905933851668145,0.4506876892270101,0.22150107922921786
seen,seasonal_naive,Wolf_public_Norma,3499,32.70446964847099,56.07863321143215,0.3086254897155776,0.24446712199918014
seen,linear_regression,Bear_education_Gavin,3453,3.4990123906451798,4.408909920566538,0.7686419814108092,0.038738977622838275
seen,linear_regression,Bear_education_Mara,3174,4.676172965804055,7.029106042249295,0.9488685544654321,0.009395106942708016
